blz,bic
25840048,COBADEFFXXX
25841403,COBADEFFXXX
25841708,COBADEFFXXX
25850110,NOLADE21UEL
25851660,NOLADE21SOL
25861990,GENODEF1CLZ
25862292,GENODEF1EUB
25863489,GENODEF1WOT
25891636,GENODEF1SOL
25940033,COBADEFFXXX
25950001,NOLADE21HIS
25950130,NOLADE21HIK
25970024,DEUTDEDB259
25970074,DEUTDE2H259
25971024,DEUTDEDB253
25971024,DEUTDEDB261
25971071,DEUTDE2H253
25971071,DEUTDE2H261
25980027,DRESDEFF259
25990011,GENODEF1HIH
25991528,GENODEF1SLD
26000000,MARKDEF1260
26040030,COBADEFFXXX
26050001,NOLADE21GOE
26051260,NOLADE21DUD
26061291,GENODEF1DUD
26061556,GENODEF1ADE
26062433,GENODEF1DRA
26070024,DEUTDEDB260
26070024,DEUTDEDB263
26070072,DEUTDE2H260
26070072,DEUTDE2H263
26080024,DRESDEFF260
26090050,GENODEF1GOE
26240039,COBADEFFXXX
26250001,NOLADE21NOM
26251425,NOLADE21EIN
26261492,GENODEF1EIN
26261693,GENODEF1HDG
26271424,DEUTDEDB262
26271471,DEUTDE2H262
26280020,DRESDEFF261
26281420,DRESDEFF262
26340056,COBADEFFXXX
26341072,COBADEFFXXX
26351015,NOLADE21HZB
26351445,NOLADE21SAC
26500000,MARKDEF1265
26520017,OLBODEH2XXX
26521703,OLBODEH2XXX
26522319,OLBODEH2XXX
26540070,COBADEFFXXX
26550105,NOLADE22XXX
26551540,NOLADE21BEB
26552286,NOLADE21MEL
26562490,GENODEF1HTR
26563960,GENODEF1WHO
26565928,GENODEF1HGM
26566939,GENODEF1MRZ
26567943,GENODEF1NOP
26570024,DEUTDEDB265
26570024,DEUTDEDB266
26570024,DEUTDEDB921
26570024,DEUTDEDB922
26570024,DEUTDEDB923
26570024,DEUTDEDB924
26570024,DEUTDEDB925
26570090,DEUTDE3B265
26570090,DEUTDE3B266
26570090,DEUTDE3B268
26570090,DEUTDE3B269
26570090,DEUTDE3B270
26570090,DEUTDE3B271
26570090,DEUTDE3B272
26580070,DRESDEFF265
26589210,DRESDEFFI10
26590025,GENODEF1OSV
26620010,OLBODEH2XXX
26621413,OLBODEH2XXX
26640049,COBADEFFXXX
26650001,NOLADE21EMS
26660060,GENODEF1LIG
26661380,GENODEF1HLN
26661494,GENODEF1MEP
26662932,GENODEF1LEN
26691213,GENODEF1HAR
26720028,OLBODEH2XXX
26740044,COBADEFFXXX
26750001,NOLADE21NOH
26760005,GENODEF1NDH
26770024,DEUTDEDB267
26770024,DEUTDEDB926
26770024,DEUTDEDB927
26770024,DEUTDEDB928
26770095,DEUTDE3B267
26770095,DEUTDE3B273
26770095,DEUTDE3B274
26770095,DEUTDE3B275
26840032,COBADEFFXXX
26850001,NOLADE21GSL
26851410,NOLADE21CLZ
26851620,NOLADE21SZG
26870024,DEUTDEDB268
26870024,DEUTDEDB929
26870024,DEUTDEDB934
26870032,DEUTDE2H268
26870032,DEUTDE2H280
26870032,DEUTDE2H285
26880063,DRESDEFF268
26890019,GENODEF1VNH
26891484,GENODEF1OHA
26941053,COBADEFFXXX
26951311,NOLADE21GFW
26971024,DEUTDEDB269
26971038,DEUTDE2H269
26981062,DRESDEFF269
26989221,DRESDEFFI11
26991066,GENODEF1WOB
27020000,VOWADE2BXXX
27020001,AUDFDE21XXX
27020003,SKODDE21XXX
27020004,ECBKDE21XXX
27020800,SEATDE21XXX
27032500,BCLSDE21XXX
27040080,COBADEFFXXX
27062290,GENODEF1BOH
27070024,DEUTDEDB270
27070024,DEUTDEDB271
27070024,DEUTDEDB272
27070024,DEUTDEDB273
27070024,DEUTDEDB274
27070024,DEUTDEDB275
27070024,DEUTDEDB278
27070024,DEUTDEDB279
27070024,DEUTDEDB930
27070030,DEUTDE2H270
27070031,DEUTDE2H271
27070034,DEUTDE2H274
27070034,DEUTDE2H278
27070034,DEUTDE2H281
27070041,DEUTDE2H279
27070042,DEUTDE2H272
27070043,DEUTDE2H273
27070079,DEUTDE2H275
27070324,DEUTDEDBP23
27070369,DEUTDE2HP23
27072524,DEUTDEDB277
27072537,DEUTDE2H277
27072724,DEUTDEDB276
27072736,DEUTDE2H276
27080060,DRESDEFF270
27089221,DRESDEFFI12
